DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2001-2005,Pledge,Source Currency,USD,2004,Dec,500000
Kenya,,KE,KEN,Kenya,Public Sector,2014-2016,Contribution,USD Equivalent,USD,2015,Mar,1000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2020-2022,Pledge,USD Equivalent,NZD,2019,Oct,949968.33
Italy,,IT,ITA,Italy,Public Sector,2020-2022,Contribution,Source Currency,EUR,2021,Jun,51300000
Canada,,CA,CAN,Canada,Public Sector,2011-2013,Pledge,Source Currency,CAD,2011,Dec,180000000
Sweden,,SE,SWE,Sweden,Public Sector,2020-2022,Contribution,Source Currency,SEK,2020,Dec,100000000
France,,FR,FRA,France,Public Sector,2001-2005,Contribution,USD Equivalent,EUR,2002,Dec,59005000
United States,,US,USA,United States,Public Sector,2020-2022,Pledge,USD Equivalent,USD,2021,Mar,3500000000
Denmark,,DK,DNK,Denmark,Public Sector,2011-2013,Pledge,USD Equivalent,DKK,2011,Dec,30723314.61
Singapore,,SG,SGP,Singapore,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,200000
Saudi Arabia,,SA,SAU,Saudi Arabia,Public Sector,2014-2016,Pledge,Source Currency,USD,2013,Dec,25000000
China,,CN,CHN,China,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,2000000
Switzerland,,CH,CHE,Switzerland,Public Sector,2008-2010,Pledge,USD Equivalent,CHF,2009,Dec,6293266.21
Kuwait,,KW,KWT,Kuwait,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2013,Dec,1500000
Uganda,,UG,UGA,Uganda,Public Sector,2017-2019,Contribution,Source Currency,USD,2018,Jun,390370.85
Spain,[2],ES,ESP,Spain,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2004,Dec,15000000
Italy,,IT,ITA,Italy,Public Sector,2008-2010,Pledge,USD Equivalent,EUR,2009,Dec,183950000
Andorra,,AD,AND,Andorra,Public Sector,2001-2005,Pledge,USD Equivalent,USD,2002,Dec,100000
European Commission,,,,,Public Sector,2011-2013,Contribution,Source Currency,EUR,2014,Feb,10000000
Canada,,CA,CAN,Canada,Public Sector,2020-2022,Contribution,USD Equivalent,CAD,2020,Dec,193955796.12
Belgium,,BE,BEL,Belgium,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2003,Dec,7229938.32
Germany,,DE,DEU,Germany,Public Sector,2001-2005,Contribution,Source Currency,EUR,2002,Dec,12000000
Russian Federation,,RU,RUS,Russian Federation,Public Sector,2014-2016,Pledge,Source Currency,USD,2015,Feb,-60000000
Kenya,,KE,KEN,Kenya,Public Sector,2017-2019,Contribution,Source Currency,USD,2017,Oct,2500000
Norway,,NO,NOR,Norway,Public Sector,2020-2022,Contribution,USD Equivalent,NOK,2021,Jun,83015940.93
Kenya,,KE,KEN,Kenya,Public Sector,2017-2019,Contribution,USD Equivalent,USD,2018,Nov,2500000
Rwanda,,RW,RWA,Rwanda,Public Sector,2011-2013,Pledge,Source Currency,USD,2011,Dec,350000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Pledge,Source Currency,KRW,2016,Sep,1957000000
Australia,,AU,AUS,Australia,Public Sector,2014-2016,Contribution,Source Currency,AUD,2014,Dec,35000000
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2008-2010,Pledge,Source Currency,CHF,2010,Dec,100000
United States,"[1,6]",US,USA,United States,Public Sector,2014-2016,Pledge,USD Equivalent,USD,2016,Sep,-243000000
