date,budgetYear,description,amountUSD,srcOrganization,srcOrganizationTypes,srcLocations,srcUsageYearStart,srcUsageYearEnd,destPlan,destPlanCode,destPlanId,destOrganization,destOrganizationTypes,destGlobalClusters,destLocations,destProject,destProjectCode,destEmergency,destUsageYearStart,destUsageYearEnd,contributionType,flowType,method,boundary,onBoundary,status,firstReportedDate,decisionDate,keywords,originalAmount,originalCurrency,exchangeRate,datasource_id,refCode,createdAt,updatedAt
2022-07-20,2022,"ICRC pre-hospital and hospital care, and protection activities in Israel and the occupied territories.",2811245,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2022,2022,,,,International Committee of the Red Cross,Red Cross/Red Crescent,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,commitment,2022-07-25,2022-07-20,,2800000,EUR,0.996,255798,ECHO/PSE/BUD/2022/91004,2022-07-26,2022-07-26
2022-07-04,,OCT 8618 [OCT 8618],1043841,"Switzerland, Government of",Government,CHE,2021,2021,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2021-03-10,2021-02-16,,1000000,CHF,0.89,228696,OCT 8618,2022-07-08,2022-07-08
2022-06-23,2022,2022 UNRWA USA Support to WBFO Summer Camps,250000,American National Committee for UNRWA,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Education,PSE,Ensuring safe access to emergency education for UNRWA vulnerable refugee students.,HPSE22-EDU-183437-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-23,,,,,256305,PR22036,2022-08-02,2022-08-02
2022-06-22,,"Prolongation of Secondment Protection Gaza No Secondment Techn. Assistance inc.",112274,"Switzerland, Government of",Government,CHE,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Protection - Gender-Based Violence,PSE,"Preventing and Responding to Gender-Based Violence among Palestine Refugees in the West Bank, including East Jerusalem ",HPSE22-PRO-183731-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-12,2022-06-22,,111600,CHF,0.994,255339,7F-09863.02,2022-07-18,2022-07-18
2022-06-22,,"Actionsbasket/pooled/multidonor fund Education*, Primary education",2766600,"Switzerland, Government of",Government,CHE,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Education,PSE,Emergency Education and MHPSS in Gaza,HPSE22-EDU-183493-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-12,2022-06-22,,2750000,CHF,0.994,255378,7F-06962.47,2022-07-18,2022-07-18
2022-06-21,2022,Towards Food assistance in Gaza Strip.,208768,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-21,,200000,EUR,0.958,256309,PR22037,2022-08-02,2022-08-02
2022-06-21,,"Palestine - supporting critical health services	""1. Contribute to MoH’s ability to deliver critical health services in Gaza. 2. Contribute to strengthen and develop local health staff capability.",810537,"Norway, Government of",Government,NOR,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,Norwegian Aid Committee,NGO,Health,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-22,2022-06-21,,8000000,NOK,9.87,256415,MEU-22/0007-1,2022-08-02,2022-08-02
2022-06-17,,OCT 10530 [OCT 10530],6647,United Nations Foundation,Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,occupied Palestinian territory Humanitarian Fund,Pooled fund,,PSE,,,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-05-18,2022-06-17,,,,,252154,OCT 10530,2022-07-09,2022-07-18
2022-06-17,,mergency Food Assistance,294990,"Spain, Government of",Government,ESP,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-17,,282600,EUR,0.958,256299,PR22035,2022-08-02,2022-08-02
2022-06-10,2022,Zakat Fund :2022 Emergency Appeal for Food and Cash assistance in Gaza  and West Bank,644012,Private (individuals & organizations),Private organization/foundation,,2022,2022,occupied Palestinian territory Humanitarian Response Plan 2022,HPSE22,1059,United Nations Relief and Works Agency for Palestine Refugees in the Near East,UN agency,Food Security,PSE,Emergency Food Assistance in Gaza ,HPSE22-FSC-183448-1,,2022,2022,financial,Standard,Traditional aid,incoming,single,paid,2022-07-27,2022-06-10,,,,,256307,PR22021,2022-08-02,2022-08-02
