countryCode,datasource_id,name,code,startDate,endDate,year,clusterCode,cluster,requirements,funding,percentFunded
UKR,1081,Ukraine Humanitarian Response Plan 2022,HUKR22,2022-01-01,2022-12-31,2022,1081,Ukraine Humanitarian Response Plan 2022,0,,
UKR,1081,Ukraine Humanitarian Response Plan 2022,HUKR22,2022-01-01,2022-12-31,2022,,Not specified,,,
UKR,1081,Ukraine Humanitarian Response Plan 2022,HUKR22,2022-01-01,2022-12-31,2022,,Multiple clusters/sectors (shared),,,
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6692,Camp Coordination and Camp Management,41962590,1228000,3
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6678,Coordination Services,15000000,32794723,219
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6670,Education,41930000,60396170,144
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6677,Emergency Telecommunications,3720000,1721453,46
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6671,Food Security & Livelihoods,469533333,361156498,77
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6672,Health,110000000,121495085,110
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6676,Logistics,6800000,10011269,147
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6669,Multi-purpose Cash,600288000,131053781,22
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6691,Nutrition,23500792,260000,1
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6673,Protection,350000000,191797162,55
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6674,Shelter & Non-Food Items,366600000,79934336,22
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,6675,"Water, Sanitation & Hygiene",216703095,85487656,39
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,,Not specified,,237377799,
UKR,1102,Ukraine Flash Appeal 2022,FUKR22,2022-03-01,2022-08-31,2022,,Multiple clusters/sectors (shared),,846086976,
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5888,Coordination and common services,7215521,2946294,41
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5902,Education,5636794,4541093,81
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5883,Food Security and Livelihoods,20990405,5152296,25
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5884,Health,28732916,12769713,44
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5889,Multipurpose cash,5165404,,
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5885,Protection,50124363,16832651,34
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5886,Shelter / Non-Food Items (NFI),23141348,2684318,12
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,5887,WASH,26976171,8911022,33
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,,Not specified,,44719983,
UKR,1015,Ukraine Humanitarian Response Plan 2021,HUKR21,2021-01-01,2021-12-31,2021,,Multiple clusters/sectors (shared),,9011523,
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,4884,Education,7127571,1546793,22
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,5475,Education COVID-19,1218257,660756,54
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,4885,Food Security and Livelihoods,17951993,10012869,56
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,5474,Food Security and Livelihoods COVID-19,9172620,906551,10
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,5473,Health COVID-19,16578002,16766023,101
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,4886,Health and Nutrition,22354341,4986877,22
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,4887,Humanitarian Coordination,6300490,3150160,50
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,4891,Multipurpose Cash Assistance,4991134,1488119,30
UKR,830,Ukraine 2020,HUKR20,2020-01-01,2020-12-31,2020,5472,Multipurpose Cash Assistance COVID-19,3986911,449741,11
